Kategori,Özellik,Nasıl Kazanılır,Değer,Notlar
Puan Sistemi,Doğru Cevap Puanı,Her doğru cevap için,10 Hasene,"Temel puan - her doğru cevap"
Puan Sistemi,Combo Bonusu,Her doğru cevap için,2 Hasene,"Doğru sayısına endeksli - her doğru cevap combo bonusu verir"
Puan Sistemi,Mükemmel Ders Bonusu,Hiç yanlış yapmadan ders tamamlama (min 3 soru),50 Hasene,"Ders sayısına endeksli - her mükemmel ders için sabit bonus"
Puan Sistemi,Günlük Görev Ödülü,Günlük görevleri tamamlama,100/250/500 Hasene (rastgele),"Rastgele seçilir - İslami öğreti ile birlikte verilir"
Puan Sistemi,Günlük Vird Bonusu,Günlük virdi tamamlama,100 Hasene,"Günlük hedefe ulaşınca otomatik verilir"
Yıldız Sistemi,Yıldız,250 Hasene kazanınca,1 Yıldız,"250 Hasene = 1 Yıldız"
Yıldız Sistemi,Bronz,5 Yıldız kazanınca,1 Bronz,"5 Yıldız = 1 Bronz (1,250 Hasene)"
Yıldız Sistemi,Gümüş,5 Bronz kazanınca,1 Gümüş,"25 Yıldız = 5 Bronz = 1 Gümüş (6,250 Hasene)"
Yıldız Sistemi,Altın,5 Gümüş kazanınca,1 Altın,"125 Yıldız = 5 Gümüş = 1 Altın (31,250 Hasene)"
Yıldız Sistemi,Elmas,5 Altın kazanınca,1 Elmas,"625 Yıldız = 5 Altın = 1 Elmas (156,250 Hasene)"
Günlük Vird,Rahat,1300 Hasene,1300 Hasene,"~10 dakika oyun"
Günlük Vird,Normal,2700 Hasene,2700 Hasene,"~20 dakika oyun (varsayılan)"
Günlük Vird,Zor,5400 Hasene,5400 Hasene,"~40 dakika oyun"
Günlük Vird,Ciddi,6000 Hasene,6000 Hasene,"~45 dakika oyun"
Günlük Vird,Özel,100-10000 Hasene arası,Manuel ayarlanabilir,"Kullanıcı kendi hedefini belirler"
Başarımlar - İlk Adımlar,İlk Kelime,1 Yıldız kazan,1 Yıldız (250 Hasene),"-"
Başarımlar - İlk Adımlar,Bismillah,2 Yıldız kazan,2 Yıldız (500 Hasene),"-"
Başarımlar - İlk Adımlar,Muvazebet Ustası,3 Yıldız kazan,3 Yıldız (750 Hasene),"-"
Başarımlar - İlk Adımlar,İlk Adım,4 Yıldız kazan,4 Yıldız (1000 Hasene),"-"
Başarımlar - İlk Adımlar,Mübtedi,5 Yıldız kazan,5 Yıldız (1250 Hasene),"-"
Başarımlar - İlk Adımlar,Mükemmel Ders,6 Yıldız kazan,6 Yıldız (1500 Hasene),"-"
Başarımlar - Başlangıç,alhamdulillah,8 Yıldız kazan,8 Yıldız (2000 Hasene),"-"
Başarımlar - Başlangıç,On Muvazebet,10 Yıldız kazan,10 Yıldız (2500 Hasene),"-"
Başarımlar - Başlangıç,Mübtedi Talebe,12 Yıldız kazan,12 Yıldız (3000 Hasene),"-"
Başarımlar - Başlangıç,Üç Gün Vird,15 Yıldız kazan,15 Yıldız (3750 Hasene),"-"
Başarımlar - Başlangıç,Günlük Vird,18 Yıldız kazan,18 Yıldız (4500 Hasene),"-"
Başarımlar - Başlangıç,mashallah,20 Yıldız kazan,20 Yıldız (5000 Hasene),"-"
Başarımlar - Başlangıç,Hızlı Talebe,25 Yıldız kazan,25 Yıldız (6250 Hasene),"-"
Başarımlar - Başlangıç,Beş Mükemmel,30 Yıldız kazan,30 Yıldız (7500 Hasene),"-"
Başarımlar - Başlangıç,Tüm Modlar,35 Yıldız kazan,35 Yıldız (8750 Hasene),"-"
Başarımlar - Başlangıç,Haftalık Vird,40 Yıldız kazan,40 Yıldız (10000 Hasene),"-"
Başarımlar - Başlangıç,Mütebahhir,50 Yıldız kazan,50 Yıldız (12500 Hasene),"-"
Başarımlar - İlerleme,İki Yüz Elli Doğru,60 Yıldız kazan,60 Yıldız (15000 Hasene),"-"
Başarımlar - İlerleme,Gümüş Mertebe,75 Yıldız kazan,75 Yıldız (18750 Hasene),"-"
Başarımlar - İlerleme,Yirmi Muvazebet,90 Yıldız kazan,90 Yıldız (22500 Hasene),"-"
Başarımlar - İlerleme,On Mükemmel,100 Yıldız kazan,100 Yıldız (25000 Hasene),"-"
Başarımlar - İlerleme,İki Hafta Vird,120 Yıldız kazan,120 Yıldız (30000 Hasene),"-"
Başarımlar - İlerleme,Beş Yüz Doğru,150 Yıldız kazan,150 Yıldız (37500 Hasene),"-"
Başarımlar - İlerleme,Alim,180 Yıldız kazan,180 Yıldız (45000 Hasene),"-"
Başarımlar - İlerleme,Üç Hafta Vird,200 Yıldız kazan,200 Yıldız (50000 Hasene),"-"
Başarımlar - İlerleme,Ramazan Virdi,250 Yıldız kazan,250 Yıldız (62500 Hasene),"-"
Başarımlar - Ustalık,İkinci Gümüş,300 Yıldız kazan,300 Yıldız (75000 Hasene),"-"
Başarımlar - Ustalık,Bin Doğru,350 Yıldız kazan,350 Yıldız (87500 Hasene),"-"
Başarımlar - Ustalık,Altın Mertebe,400 Yıldız kazan,400 Yıldız (100000 Hasene),"-"
Başarımlar - Ustalık,Fakih,500 Yıldız kazan,500 Yıldız (125000 Hasene),"-"
Başarımlar - Ustalık,Kırk Gün Vird,600 Yıldız kazan,600 Yıldız (150000 Hasene),"-"
Başarımlar - Ustalık,Muhaddis,700 Yıldız kazan,700 Yıldız (175000 Hasene),"-"
Başarımlar - Master,İkinci Altın,800 Yıldız kazan,800 Yıldız (200000 Hasene),"-"
Başarımlar - Master,Elli Mükemmel,900 Yıldız kazan,900 Yıldız (225000 Hasene),"-"
Başarımlar - Master,Elmas Mertebe,1000 Yıldız kazan,1000 Yıldız (250000 Hasene),"-"
Başarımlar - Master,Müfessir,1200 Yıldız kazan,1200 Yıldız (300000 Hasene),"-"
Başarımlar - Master,Yüz Gün Vird,1500 Yıldız kazan,1500 Yıldız (375000 Hasene),"-"
Başarımlar - Efsane,Ustalar Ustası,2000 Yıldız kazan,2000 Yıldız (500000 Hasene),"-"
Başarımlar - Efsane,Hafız,2500 Yıldız kazan,2500 Yıldız (625000 Hasene),"-"
Başarımlar - Efsane,Yüz Mükemmel,3000 Yıldız kazan,3000 Yıldız (750000 Hasene),"-"
Başarımlar - Efsane,Beş Bin Doğru,4000 Yıldız kazan,4000 Yıldız (1000000 Hasene),"-"
Başarımlar - Efsane,Elmas Mertebe Final,5000 Yıldız kazan,5000 Yıldız (1250000 Hasene),"-"
Başarımlar - Efsane,Ustalar Ustası Final,6000 Yıldız kazan,6000 Yıldız (1500000 Hasene),"-"
Başarımlar - Efsane,Kurra Hafız,10000 Yıldız kazan,10000 Yıldız (2500000 Hasene),"-"
Rozetler - Temel,İlk Adım,250 Hasene kazan,250 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Temel,Başlangıç,500 Hasene kazan,500 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Temel,İlk Seri,750 Hasene kazan,750 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Temel,Hızlı Öğrenci,1000 Hasene kazan,1000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Temel,Combo Ustası,1500 Hasene kazan,1500 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Temel,Mükemmel Ders,2000 Hasene kazan,2000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Temel,Haftalık Kahraman,2500 Hasene kazan,2500 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Temel,Kelime Ustası,3500 Hasene kazan,3500 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Temel,İlerleme,5000 Hasene kazan,5000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Temel,Çoklu Mod,7500 Hasene kazan,7500 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Orta Seviye,2 Hafta Seri,10000 Hasene kazan,10000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Orta Seviye,Bronz Yolcu,15000 Hasene kazan,15000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Orta Seviye,10x Combo,20000 Hasene kazan,20000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Orta Seviye,100 Doğru,25000 Hasene kazan,25000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Orta Seviye,3 Hafta Seri,30000 Hasene kazan,30000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Orta Seviye,5 Mükemmel,40000 Hasene kazan,40000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Orta Seviye,Gümüş Yolcu,50000 Hasene kazan,50000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Orta Seviye,Ay Boyunca,60000 Hasene kazan,60000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Orta Seviye,250 Doğru,75000 Hasene kazan,75000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,Mertebe 5,85000 Hasene kazan,85000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,Altın Yolcu,100000 Hasene kazan,100000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,20x Combo,125000 Hasene kazan,125000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,500 Doğru,150000 Hasene kazan,150000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,10 Mükemmel,200000 Hasene kazan,200000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,Mertebe 10,250000 Hasene kazan,250000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,Elmas Yolcu,300000 Hasene kazan,300000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,1000 Doğru,400000 Hasene kazan,400000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,50 Gün Seri,500000 Hasene kazan,500000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - İleri Seviye,Ustalar Ustası,600000 Hasene kazan,600000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Uzman Seviye,Mertebe 20,750000 Hasene kazan,750000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Uzman Seviye,100 Mükemmel,850000 Hasene kazan,850000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Uzman Seviye,100 Gün Seri,1000000 Hasene kazan,1000000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Uzman Seviye,5000 Doğru,1250000 Hasene kazan,1250000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Uzman Seviye,HAFIZ,1500000 Hasene kazan,1500000 Hasene,"Sadece Hasene gereksinimi"
Rozetler - Uzman Seviye,Efsane,2500000 Hasene kazan,2500000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Doğum,250 Hasene kazan,250 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Sütannesi Halime,500 Hasene kazan,500 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Dedesi Abdülmuttalib,750 Hasene kazan,750 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Amcası Ebu Talib,1000 Hasene kazan,1000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Hatice ile Evlilik,1250 Hasene kazan,1250 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,İlk Vahiy,1500 Hasene kazan,1500 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,İlk Müslümanlar,1750 Hasene kazan,1750 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Açık Davet,2000 Hasene kazan,2000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Habeşistan Hicreti,2500 Hasene kazan,2500 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hüzün Yılı,3000 Hasene kazan,3000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,İsra ve Miraç,3500 Hasene kazan,3500 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Birinci Akabe Biatı,4000 Hasene kazan,4000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,İkinci Akabe Biatı,4500 Hasene kazan,4500 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hicret,5000 Hasene kazan,5000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Mescid-i Nebevi İnşası,6000 Hasene kazan,6000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Kardeşlik Antlaşması,7000 Hasene kazan,7000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Bedir Savaşı,8000 Hasene kazan,8000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Ramazan Orucu,9000 Hasene kazan,9000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Uhud Savaşı,10000 Hasene kazan,10000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hendek Savaşı,12000 Hasene kazan,12000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hudeybiye Antlaşması,14000 Hasene kazan,14000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hayber'in Fethi,16000 Hasene kazan,16000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Mekke'nin Fethi,18000 Hasene kazan,18000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Huneyn Savaşı,20000 Hasene kazan,20000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Tebük Seferi,22000 Hasene kazan,22000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Veda Haccı,24000 Hasene kazan,24000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Vefat,26000 Hasene kazan,26000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ebu Bekir'in Halife Seçilmesi,28000 Hasene kazan,28000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Ridde Savaşları,30000 Hasene kazan,30000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ömer'in Halife Seçilmesi,32000 Hasene kazan,32000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Kadisiyye Savaşı,35000 Hasene kazan,35000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Kudüs'ün Fethi,38000 Hasene kazan,38000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hicri Takvim Başlangıcı,42000 Hasene kazan,42000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ömer'in Şehit Edilmesi,45000 Hasene kazan,45000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Osman'ın Halife Seçilmesi,50000 Hasene kazan,50000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Kuran'ın Çoğaltılması,55000 Hasene kazan,55000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Osman'ın Şehit Edilmesi,60000 Hasene kazan,60000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ali'nin Halife Seçilmesi,65000 Hasene kazan,65000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Cemel (Deve) Vakası,70000 Hasene kazan,70000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Sıffin Savaşı,75000 Hasene kazan,75000 Hasene,"Sadece Hasene gereksinimi"
Asr-ı Saadet Rozetleri,Hz. Ali'nin Şehit Edilmesi,80000 Hasene kazan,80000 Hasene,"Sadece Hasene gereksinimi"
